Title,ID,Study_Type,PDF_File,Error
Characteristics and Incidence of Concussion Among a US Collegiate Undergraduate Population,31851345,obs,PMC6991304,PDF Download
US Geographical Variation in Rates of Shoulder and Knee Arthroscopy and Association With Orthopedist Density,31825507,obs,PMC6991208,PDF Download
"Incidence of, Risk Factors for, and Mortality Associated With Severe Acute Kidney Injury After Gunshot Wound",31825505,obs,PMC6991197,PDF Download
Health Outcomes Among Long-term Opioid Users With Testosterone Prescription in the Veterans Health Administration,31825502,obs,PMC6991198,PDF Download
Association of Vessel-Sealant Devices vs Conventional Hemostasis With Postoperative Neck Hematoma After Thyroid Operations,31532475,obs,PMC6751786,PDF Download
Association of early postnatal transfer and birth outside a tertiary hospital with mortality and severe brain injury in extremely preterm infants: observational cohort study with propensity score matching,31619384,obs,PMC6812621,PDF Download
Fracture Risk After Roux-en-Y Gastric Bypass vs Adjustable Gastric Banding Among Medicare Beneficiaries,31090893,obs,PMC6537834,PDF Download
Agreement Between Arterial Carbon Dioxide Levels With End-Tidal Carbon Dioxide Levels and Associated Factors in Children Hospitalized With Traumatic Brain Injury,31418806,obs,PMC6704750,PDF Download
Severity of heterotopic ossification in patients following surgery for hip fracture: a retrospective observational study,31351447,obs,PMC6661104,TBD
Association of Increased Safe Household Firearm Storage With Firearm Suicide and Unintentional Death Among US Youths,31081861,obs,PMC6515586,PDF Download
Association of Ambulance Use in New York City With the Implementation of the Patient Protection and Affordable Care Act,31251380,obs,PMC6604083,PDF Download
Safety and Feasibility of Transcranial Magnetic Stimulation as an Exploratory Assessment of Corticospinal Connectivity in Infants After Perinatal Brain Injury: An Observational Study,30806664,obs,PMC6545276,PDF Download
Medical assessment of potential concussion in elite football: video analysis of the 2016 UEFA European championship,31147360,obs,PMC6549745,TBD
Posthospital Fall Injuries and 30-Day Readmissions in Adults 65 Years and Older,31125100,obs,PMC6632136,PDF Download
Misclassification of Myocardial Injury as Myocardial Infarction: Implications for Assessing Outcomes in Value-Based Programs,30879022,obs,PMC6537800,PDF Download
Association of Socioeconomic Status and Brain Injury With Neurodevelopmental Outcomes of Very Preterm Children,31050776,obs,PMC6503490,PDF Download
Epidemiology of Brain Death in Pediatric Intensive Care Units in the United States,30882855,obs,PMC6503509,PDF Download
Stable Iodine Distribution Among Children After the 2011 Fukushima Nuclear Disaster in Japan: An Observational Study,30535265,obs,PMC6441009,PDF Download
Rate of intraoperative problems during sacroiliac screw removal: expect the unexpected,30987627,obs,PMC6466648,TBD
Contribution of specific diseases and injuries to changes in health adjusted life expectancy in 187 countries from 1990 to 2013: retrospective observational study,30917970,obs,PMC6435998,PDF Download
Assessment of Risk of Xerostomia After Whole-Brain Radiation Therapy and Association With Parotid Dose,30489607,obs,PMC6439567,PDF Download
Mental health in individuals with spinal cord injury: The role of socioeconomic conditions and social relationships,30785880,obs,PMC6382129,TBD
Predicting Fracture Risk in Younger Postmenopausal Women: Comparison of the Garvan and FRAX Risk Calculators in the Women's Health Initiative Study,30334182,obs,PMC6374270,TBD
Prevalence of Pediatric Surgical Conditions Across Somaliland,30646203,obs,PMC6484554,PDF Download
Inadvertent Migration of Umbilical Venous Catheters Often Leads to Malposition,30645997,obs,PMC6518856,PDF Download
"Incidence of Thyroid Cancer Among Children and Young Adults in Fukushima, Japan, Screened With 2 Rounds of Ultrasonography Within 5 Years of the 2011 Fukushima Daiichi Nuclear Power Station Accident",30489622,obs,PMC6439815,PDF Download
Outcome of deep anterior lamellar keratoplasty patients with intraoperative Descemet's membrane perforation: A retrospective cross-sectional study,30355864,obs,PMC6213700,PDF Download
Chest radiographs versus CT for the detection of rib fractures in children (DRIFT): a diagnostic accuracy observational study,30249541,obs,PMC6350458,PDF Download
"Predicting acute renal failure in Bothrops snakebite patients in a tertiary reference center, Western Brazilian Amazon",30118505,obs,PMC6097671,TBD
Association of Osteoporosis Medication Use After Hip Fracture With Prevention of Subsequent Nonvertebral Fractures: An Instrumental Variable Analysis,30646034,obs,PMC6324295,PDF Download
Impact on the pattern of ocular injuries and awareness following a ban on firecrackers in New Delhi: A tertiary eye hospital-based study,29785995,obs,PMC5989509,PDF Download
